kegg	mnx_id	bigg	seed	metacyc	description	ambiguous
C05933	MNXM1371096		cpd03527	CPD-13518	N(omega)-Hydroxyarginine||N(omega)-Hydroxy-L-arginine	
C05936	MNXM1527	n4abutn	cpd03529	CPD-30	N4-Acetylaminobutanal||4-Acetamidobutanal	
C05938	MNXM2687	4hglusa	cpd03530	L-4-HYDROXYGLUTAMATE_SEMIALDEHYDE	L-4-Hydroxyglutamate semialdehyde	
C05939	MNXM727327		cpd03531		Linatine||N-(gamma-L-Glutamyl)amino-D-proline	
C05941	MNXM6731		cpd03532		2-Oxo-4-hydroxy-5-aminovalerate	
C05942	MNXM1590		cpd03533	PYRROLE-2-CARBOXYLATE	Pyrrole-2-carboxylate	
C05944	MNXM1372052		cpd03534		Pantothenol||(+)-Panthenol||(R)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide||2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide||Bepanthen||Bepanthene||Bepantol||Cozyme||D(+)-Panthenol||D(+)-Pantothenyl alcohol||D-(+)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutyramide||D-P-A Injection||D-Panthenol||Dexpanthenol||Ilopan||Motilyn||N-Pantoyl-propanolamine||Panadon||Panthenol||Panthoderm||Pantol||Pantothenyl alcohol||Provitamin B||Synapan||Thenalton||Zentinic||d-Pantothenol||d-Pantothenyl alcohol	
C05945	MNXM3663	argp	cpd03535	L-ARGININE-P	L-Arginine phosphate||Arginine phosphate||L-Arginine-NG-phosphoric acid||N(omega)-Phospho-L-arginine||N-Phospho-L-arginine||N5-[Imino(phosphonoamino)methyl]L-ornithine||Phosphoarginine||Phosphoarginine A||omega-N-Phosphoarginine	
C05946	MNXM1106168		cpd19041	D-4-HYDROXY-2-KETO-GLUTARATE	(4R)-4-Hydroxy-2-oxoglutarate||(R)-2-Hydroxy-4-oxopentanedioate||D-4-Hydroxy-2-oxoglutarate	
C05947	MNXM1371442	e4hglu	cpd01974|cpd19042	CPD-15057|L-ERYTHRO-4-HYDROXY-GLUTAMATE	L-erythro-4-Hydroxyglutamate||erythro-4-Hydroxy-L-glutamate	kegg(2),seed(2),metacyc(2)
C05949	MNXM6635	CE4990	cpd03538	CPD-24714	12-Keto-leukotriene B4||12-Keto-LTB4||5-Hydroxy-12-oxo-Delta5,8,11,14-eicosapolyenoic acid	
C05950	MNXM740398		cpd03539	CPD-24732	20-COOH-Leukotriene B4||20-COOH-LTB4||20-Carboxy-leukotriene B4||5,12-Dihydroxy-Delta5,8,11,14-eicosapolyendioic acid	
C05951	MNXM162546	leuktrD4	cpd03540	CPD66-21	Leukotriene D4||LTD4	
C05952	MNXM162503	leuktrE4	cpd03541	7E9E11Z14Z-5S6R-6-CYSTEIN-S-YL	Leukotriene E4||(7E,9E,11Z,14Z)-(5S,6R)-6-(Cystein-S-yl)-5-hydroxyeicosa-7,9,11,14-tetraenoate||(7E,9E,11Z,14Z)-(5S,6R)-6-(Cystein-S-yl)-5-hydroxyicosa-7,9,11,14-tetraenoate||LTE4	
C05953	MNXM7702	HC02203	cpd03542	CPD-21228	Prostaglandin A2||Medullin||PGA2	
C05954	MNXM727777	HC02205	cpd03543	CPD-24162	Prostaglandin B2||PGB2	
C05955	MNXM7703	HC02207	cpd03544	CPD-24163	Prostaglandin C2||PGC2	
C05956	MNXM1103934	HC02217	cpd03545	CPD-17980	Prostaglandin G2||PGG2	
C05957	MNXM7704	C05957	cpd03546	CPD-21229	Prostaglandin J2||PGJ2	
C05958	MNXM1371999		cpd03547	CPD-25996	Delta-12-Prostaglandin J2||Delta-12-PGJ2	
C05959	MNXM740328		cpd03548	CPD-24636	11-epi-Prostaglandin F2alpha||11-epi-PGF2a||11-epi-PGF2alpha||11-epi-Prostaglandin F2a	
C05960	MNXM1104949	15kprostgf2	cpd03549	CPD-22745	15-Keto-prostaglandin F2alpha||15-Keto-PGF2a||15-Keto-PGF2alpha||15-Keto-prostaglandin F2a	
C05961	MNXM1103704	CE0955	cpd03550	CPD-24635	6-Keto-prostaglandin F1alpha||6-Keto-PGF1a||6-Keto-PGF1alpha||6-Keto-prostaglandin F1a	
C05962	MNXM10389		cpd03551	CPD-24690	6-Keto-prostaglandin E1||6-Keto-PGE1	
C05963	MNXM1104004	HC02180|txb2	cpd03552	CPD-24534	Thromboxane B2||TXB2	bigg(2)
C05964	MNXM741657		cpd03553	CPD-24685	11-Dehydro-thromboxane B2	
C05965	MNXM1368929	12HPET	cpd03554	5Z8Z10E14Z-12S-12-HYDROPEROXYICOS	12(S)-HPETE||(5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoate||(5Z,8Z,10E,14Z)-(12S)-12-Hydroperoxyicosa-5,8,10,14-tetraenoic acid||12-Hydroperoxyeicosatetraenoate||12-Hydroperoxyeicosatetraenoic acid||12-Hydroperoxyicosatetraenoate||12-Hydroperoxyicosatetraenoic acid	
C05966	MNXM730447	15HPET	cpd03555	5Z8Z11Z13E-15S-15-HYDROPEROXYICOS	15(S)-HPETE||(5Z,8Z,11Z,13E)-(15S)-15-Hydroperoxyicosa-5,8,11,13-tetraenoate||(5Z,8Z,11Z,13E)-(15S)-15-Hydroperoxyicosa-5,8,11,13-tetraenoic acid||15-Hydroperoxyeicosatetraenoate||15-Hydroperoxyeicosatetraenoic acid||15-Hydroperoxyicosatetraenoate||15-Hydroperoxyicosatetraenoic acid	
C05973	MNXM101606		cpd03557	2-ACYL-GPE	2-Acyl-sn-glycero-3-phosphoethanolamine||L-1-Lysophosphatidylethanolamine||O-(2-Acyl-sn-glycero-3-phospho)-ethanolamine	
C05974	MNXM1107731				2-Acyl-sn-glycero-3-phosphoserine||2-Acyl-1-lyso-phosphatidylserine	
C05977	MNXM32703		cpd12800		2-Acyl-1-alkyl-sn-glycero-3-phosphate||1-Alkyl-2-acyl-sn-glycerol 3-phosphate	
C05979	MNXM6396	ppoh	cpd03559	PROPANOL	Propane-1-ol||1-Hydroxypropane||1-Propanol||Ethylcarbinol||Optal||Osmosol extra||Propan-1-ol||Propanol||Propyl alcohol||UN 1274||n-Propanol||n-Propyl alcohol	
C05980	MNXM731145	clpn_hs			Cardiolipin||1',3'-Bis(1,2-diacyl-sn-glycero-3-phospho)-sn-glycerol||Diphosphatidylglycerol	
C05981	MNXM1105915				Phosphatidylinositol-3,4,5-trisphosphate||1,2-Diacyl-sn-glycero-3-phospho-(1'-myo-inositol-3',4',5'-bisphosphate)||1-Phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate	
C05983	MNXM1103578	HC01668	cpd03560	PROPIONYL_ADENYLATE	Propionyladenylate||Propionyl-adenosine monophosphate	
C05984	MNXM1363881		cpd03561	CPD-3564	2-Hydroxybutanoic acid||(2S)-2-Hydroxybutanoic acid||(S)-2-Hydroxybutanoate||2-Hydroxybutyrate||2-Hydroxybutyric acid	
C05985	MNXM2716		cpd03562	CPD-15163	2-Propynal||2-Propyn-1-al||Propiolaldehyde	
C05986	MNXM5904		cpd03563		2-Propyn-1-ol||1-Hydroxy-2-propyne||1-Propyn-3-ol||1-Propyn-3-yl alcohol||2-Propynol||2-Propynyl alcohol||3-Hydroxy-1-propyne||3-Propynol||Ethynylcarbinol||NA 1986||Prop-2-in-1-ol||Prop-2-yn-1-ol||Prop-2-yne-1-ol||Propargyl alcohol||Propynyl alcohol	
C05989	MNXM1364254	M03168	cpd03564	CPD-17259	3-Oxopropionyl-CoA||3-Oxopropanoyl-CoA||Malonyl semialdehyde-CoA	
C05990	MNXM736534		cpd03565	ISOSCOPARIN	Isoscoparine||C-Glucosyl-6 chrysoeriol||Chrysoeriol 6-C-glucoside||Isoscoparin	
C05993	MNXM1103443	HC01672	cpd03566	ACETYL_AMP	Acetyl adenylate||5'-Acetylphosphoadenosine	
C05994	MNXM1371536		cpd02116|cpd03567		2-Propylmalate||2-Propylmalic acid||Malic acid, 2-propyl-	kegg(2),seed(2)
C05995	MNXM1364227		cpd03568		7-Hydroxy-6-methyl-8-ribityllumazine||6-Methyl-7-oxo-8-ribityllumazine||7-Oxolumazine	
C05996	MNXM5646		cpd12803		Branched chain fatty acid	
C05998	MNXM1104561	3ivcoa	cpd03570	3-HYDROXY-ISOVALERYL-COA	3-Hydroxyisovaleryl-CoA||3-Hydroxy-3-methylbutanoyl-CoA||3-Hydroxyisovaleryl coenzyme A	
C05999	MNXM732881		cpd03571|cpd27393	Lactaldehydes	Lactaldehyde||2-Hydroxypropanal||2-Hydroxypropionaldehyde	seed(2)
C06000	MNXM1364136	3hibutcoa	cpd23280	CPD-12173	(S)-3-Hydroxyisobutyryl-CoA||(S)-3-Hydroxy-2-methylpropanoyl-CoA||(S)-3-Hydroxyisobutanoyl-CoA	
C06001	MNXM1105921	3hmp	cpd23281	CPD-12175	(S)-3-Hydroxyisobutyrate	
C06002	MNXM1105058	mmalsa|mmalsa__S|mmtsa	cpd19044	CH3-MALONATE-S-ALD	(S)-Methylmalonate semialdehyde	bigg(3)
C06006	MNXM726902	2ahbut	cpd00498|cpd19045	2-ACETO-2-HYDROXY-BUTYRATE	(S)-2-Aceto-2-hydroxybutanoate||(2S)-2-Ethyl-2-hydroxy-3-oxobutanoic acid||(S)-2-Hydroxy-2-ethyl-3-oxobutanoate	kegg(2),seed(2)
C06007	MNXM1202	23dhmp	cpd02535|cpd19046	1-KETO-2-METHYLVALERATE	(R)-2,3-Dihydroxy-3-methylpentanoate||(2R,3R)-2,3-Dihydroxy-3-methylpentanoate||(2R,3R)-2,3-Dihydroxy-3-methylpentanoic acid||(R)-2,3-Dihydroxy-3-methylvalerate	kegg(2),seed(2)
C06010	MNXM1103847	alac__S	cpd00668|cpd19047	2-ACETO-LACTATE	(S)-2-Acetolactate||(2S)-2-Hydroxy-2-methyl-3-oxobutanoate||(2S)-2-Hydroxy-2-methyl-3-oxobutanoic acid||(S)-2-Hydroxy-2-methyl-3-oxobutanoate	kegg(2),seed(2)
C06011	MNXM8327		cpd03579	BENZENAMINE-SULFATE	Benzenamine sulfate	
C06017	MNXM737541		cpd03581		dTDP-D-glucuronate	
C06018	MNXM1108090		cpd03582	CPD-14793	dTDP-4-acetamido-4,6-dideoxy-D-glucose||dTDP-4-acetamido-4,6-dideoxy-alpha-D-glucose||dTDP-N-acetylviosamine	
C06019	MNXM1659		cpd03583	CPD-26	D-arabino-Hex-3-ulose 6-phosphate||D-arabino-3-Hexulose 6-phosphate||D-arabino-6-Phospho-hex-3-ulose	
C06020	MNXM5822		cpd12809		Methyl-Co(III) corrinoid protein||Corrinoid protein Co2+-CH3||Methylcorrinoid||Methylcorrinoid protein	
C06021	MNXM5691		cpd12810		Co(I) corrinoid protein||Corrinoid||Corrinoid protein||Corrinoid protein Co+	
C06022	MNXM1364403	u3hga	cpd03584	UDP-OHMYR-GLUCOSAMINE	UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine||UDP-3-O-(beta-hydroxymyristoyl)-D-glucosamine||UDP-3-O-[(3R)-3-hydroxymyristoyl]-D-glucosamine||UDP-3-O-[(3R)-3-hydroxymyristoyl]-alpha-D-glucosamine	
C06023	MNXM732457				D-Glucosaminide||Chitosan oligosaccharide	
C06024	MNXM1101307	kdolipid4	cpd03585	KDO-LIPID-IVA	3-Deoxy-D-manno-octulosonyl-lipid IV(A)||3-Deoxy-D-manno-octulosonyl-2',3',2',3'-tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate||KDO-lipid IV(A)||alpha-Kdo-(2->6)-[lipid IVA]	
C06025	MNXM1104740	kdo2lipid4	cpd03586	KDO2-LIPID-IVA	KDO2-lipid IVA||Di[3-deoxy-D-manno-octulosonyl]-lipid IV(A)||KDO2-lipid IV(A)||alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-[lipid IVA]	
C06026	MNXM730505	lipa	cpd03587	KDO2-LIPID-A	KDO2-lipid A||Di[3-deoxy-D-manno-octulosonyl]-lipid A||Dodecanoyl-(tetradecanoyl)-KDO2-lipid IV(A)||alpha-Kdo-(2->4)-alpha-Kdo-(2->6)-lipid A	
C06027	MNXM738689		cpd03588|cpd25679	CPD-9409	L-erythro-3-Methylmalyl-CoA||(2R,3S)-2-Methyl-3-carboxy-3-hydroxypropanoyl-CoA||(2R,3S)-2-Methylmalyl-CoA||L-erythro-beta-Methylmalyl-CoA||beta-Methylmalyl-CoA	seed(2)
C06028	MNXM1102866	mescoa	cpd03589	CPD-9408	2-Methylfumaryl-CoA||(E)-3-Carboxy-2-methylprop-2-enoyl-CoA||Mesaconyl-C1-CoA||Mesaconyl-CoA	
C06029	MNXM12068		cpd03590		L-threo-3-Methylmalate	
C06030	MNXM1105739		cpd03591	METHYLOXALO-ACETATE	Methyloxaloacetate	
C06031	MNXM11295		cpd03592		D-threo-3-Methylmalate	
C06032	MNXM725944		cpd03593|cpd24703	CPD-7066	D-erythro-3-Methylmalate||(2R,3S)-3-Methylmalate	seed(2)
C06033	MNXM2196		cpd02570|cpd23110|cpd23111|cpd24357	CPD-11855|CPD-187	Parapyruvate||4-Hydroxy-4-methyl-2-oxoglutarate	seed(4),metacyc(2)
C06034	MNXM164302		cpd03595		4-Hydroxy-4-methylglutamate	
C06035	MNXM1369193			CPD-88	4-Methylene-2-oxoglutarate||2-Methylidene-4-oxopentanedioic acid||4-Carboxy-2-oxo-4-pentenoate||4-Methylene-2-oxoglutaric acid	
