kegg	mnx_id	bigg	seed	metacyc	description	ambiguous
C17516	MNXM736389		cpd17641		Capsianside A	
C17517	MNXM1369518		cpd17642		beta-Terpineol	
C17518	MNXM54332		cpd17643		gamma-Terpineol	
C17519	MNXM41713		cpd17644		Amaroswerin	
C17520	MNXM33153		cpd17645		11-o-Galloylbergenin	
C17521	MNXM60998		cpd17646		Mallotinic acid	
C17522	MNXM60997		cpd17647		Mallogenin-3-o-alpha-L-rhamnopyranoside||Malloside	
C17523	MNXM67582		cpd17648		Panogenin-3-o-alpha-L-rhamnopyranoside||Panoside	
C17524	MNXM47667		cpd17649		Coroglaucigenin-3-o-alpha-L-rhamnopyranoside	
C17525	MNXM47675		cpd17650		Corotoxigenin-3-O-alpha-L-rhamnopyranoside	
C17526	MNXM44543		cpd17651		Boivinide A||Corotoxigenin-3-O-beta-D-glucopyranosyl-(1->4)-beta-D-digitalopyranoside	
C17527	MNXM80672		cpd17652		Rengyol	
C17528	MNXM44119		cpd17653		beta-Hydroxyacteoside	
C17529	MNXM1369009		cpd17654		(-)-Pinoresinol glucoside	
C17530	MNXM61829		cpd17655	METHYL-ACETATE	Methyl acetate||Devoton||Tereton	
C17531	MNXM77042		cpd17656		Plantagoside	
C17532	MNXM61977		cpd17657		Metoxadiazone	
C17533	MNXM54275		cpd17658		Gambirtannine	
C17534	MNXM48257		cpd17659		Cylindrin	
C17535	MNXM179350		cpd17660|cpd24249	CPD-14251	Aplotaxene	seed(2)
C17536	MNXM82038		cpd17661		Sibiricoside A	
C17537	MNXM82039		cpd17662		Sibiricoside B	
C17538	MNXM736633		cpd17663		Cimigenol	
C17539	MNXM46290		cpd17664		Chikusetsusaponin III	
C17540	MNXM103737		cpd17665		Chikusetsusaponin IV||Araloside A	
C17541	MNXM1370449				Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)-D-alanyl-D-alanine||Und-PP-MurNAc-(GlcNAc)-L-Ala-D-isoglutaminyl-L-Lys-(Gly)-D-Ala-D-Ala	
C17542	MNXM1370451				Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-D-isoglutaminyl-L-lysyl-(glycyl)3-D-alanyl-D-alanine||Und-PP-MurNAc-(GlcNAc)-L-Ala-D-isoglutaminyl-L-Lys-(Gly)3-D-Ala-D-Ala	
C17543	MNXM726178		cpd17668	CPD-15576	Chikusetsusaponin V||Ginsenoside Ro	
C17544	MNXM46288		cpd17669		Chikusetsusaponin Ia	
C17545	MNXM726176		cpd17670		Chikusetsusaponin Ib	
C17546	MNXM40485		cpd17671		Akeboside Stf	
C17547	MNXM40483		cpd17672		Akeboside Std||Akebia saponin C||Cauloside C	
C17548	MNXM40484		cpd17673		Akeboside Ste	
C17549	MNXM1367595				Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl-L-alanyl)-D-alanyl-D-alanine	
C17550	MNXM1372241				Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-(L-alanyl)-D-alanyl-D-alanine	
C17551	MNXM739369				2-Polyprenyl-6-hydroxyphenol||3-(all-trans-Polyprenyl)benzene-1,2-diol||3-Polyprenylcatechol	
C17552	MNXM736937				2-Polyprenyl-6-methoxyphenol||2-Methoxy-6-(all-trans-polyprenyl)phenol	
C17553	MNXM736848		cpd17678		Condurango glycoside A	
C17554	MNXM739464				3,4-Dihydroxy-5-polyprenylbenzoate||3,4-Dihydroxy-5-all-trans-polyprenylbenzoate||3-Polyprenyl-4,5-dihydroxybenzoate	
C17555	MNXM738337		cpd17680	CPD-21620	Icariin	
C17556	MNXM1372531				di-trans,poly-cis-Undecaprenyl phosphate||Undecaprenyl phosphate||ditrans,octacis-Undecaprenyl phosphate	
C17557	MNXM735966		cpd05935|cpd17681		Lonicerin	kegg(2),seed(2)
C17558	MNXM1369357				di-trans,poly-cis-Undecaprenol||Undecaprenol	
C17559	MNXM737010				3-Methoxy-4-hydroxy-5-polyprenylbenzoate||3-Methoxy-4-hydroxy-5-all-trans-polyprenylbenzoate||3-Polyprenyl-4-hydroxy-5-methoxybenzoate	
C17560	MNXM736935				2-Polyprenyl-6-methoxy-1,4-benzoquinone	
C17561	MNXM1371794				2-Polyprenyl-3-methyl-6-methoxy-1,4-benzoquinone	
C17562	MNXM736931				2-Polyprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone	
C17563	MNXM62627		cpd17686		Multinoside A	
C17566	MNXM47495		cpd17689		Coixenolide	
C17567	MNXM60380		cpd17690		Lotusine||(-)-Lotusine||D-(-)-Lotusine	
C17568	MNXM1371360				Ubiquinone-6||Coenzyme Q6	
C17569	MNXM1368797				Ubiquinone-8||Coenzyme Q8	
C17570	MNXM1370219				2-Methyl-6-solanyl-1,4-benzoquinol||2-Methyl-6-all-trans-nonaprenylbenzene-1,4-diol||2-Methyl-6-nonaprenyl-benzene-1,4-diol||2-Methyl-6-solanesylbenzene-1,4-diol||MSBQ	
C17571	MNXM37816		cpd17692		5'-Hydroxystreptomycin	
C17572	MNXM44509		cpd17693		Bluensidine 6-phosphate	
C17573	MNXM44510		cpd17694		Bluensomycin	
C17574	MNXM35046		cpd17695		2-epi-Streptamine	
C17575	MNXM40180		cpd17696		Actinamine||Spectinamine	
C17576	MNXM36577		cpd17697		3-Keto-scyllo-inosamine	
C17577	MNXM62747		cpd17698		myo-Inosose-5	
C17578	MNXM588061		cpd17699		neo-Inosamine-2||2L-2-Amino-2-deoxy-neo-inositol	
C17579	MNXM726341		cpd17700|cpd35491	CPD-15351	Hygromycin A	seed(2)
C17580	MNXM6700		cpd17701	CPD-14122	2-Deoxy-scyllo-inosamine	
C17581	MNXM8100		cpd17702	CPD-14123	3-Amino-2,3-dideoxy-scyllo-inosose||2-Deoxy-3-keto-scyllo-inosamine	
C17583	MNXM10352		cpd17704	CPD-14155	6'-Dehydro-6'-oxoparomamine||6'-Dehydroparomamine||6'-Oxoparomamine	
C17584	MNXM169424		cpd17705	CPD-14196	Xylostasin	
C17585	MNXM1107934		cpd17706	CPD-14140	Butirosin A	
C17586	MNXM10838		cpd17707	CPD-14193	Butirosin B	
C17588	MNXM10351		cpd17709	CPD-14166	6'''-Deamino-6'''-hydroxyneomycin C||6'''-Hydroxyneomycin C||Neomycin Y2	
C17589	MNXM10350		cpd17710	CPD-14167	6'''-Deamino-6'''-oxoneomycin C||6'''-Deamino-6'''-dehydro-6'''-oxoneomycin C||6'''-Oxoneomycin C	
C17590	MNXM734431		cpd19247		Catechin||(+/-)-Catechin	
C17591	MNXM5395		cpd17711	CPD-9935	(S)-Corytuberine	
C17592	MNXM728988				Laudanine	
C17599	MNXM61836		cpd17719		Methylarbutin	
C17600	MNXM738930		cpd17720		Multiflorin B	
C17601	MNXM736293		cpd17721		2(5H)-Furanone||Butenolide||gamma-Crotonolactone	
C17602	MNXM736294		cpd17722		2(3H)-Furanone||alpha-Crotonolactone	
C17603	MNXM59110		cpd17723		Kikkanol A	
C17604	MNXM59111		cpd17724		Kikkanol B	
C17605	MNXM59112		cpd17725		Kikkanol C	
C17606	MNXM59113		cpd17726		Kikkanol D	
C17607	MNXM59114		cpd17727		Kikkanol E	
C17608	MNXM59115		cpd17728		Kikkanol F	
C17609	MNXM46674		cpd17729		Chrysantherol	
C17610	MNXM46675		cpd17730		Chrysanthetriol	
C17611	MNXM46671		cpd17731		Chrysanthemol	
C17612	MNXM57302		cpd17732		Indicumenone	
C17613	MNXM55911		cpd19248		Handelin	
C17614	MNXM32951		cpd17733		1-Octen-3-ol-3-o-beta-D-xylopyranosyl(1->6)-beta-D-glucopyranoside	
C17615	MNXM59180		cpd17734		Kukoamine A	
C17616	MNXM59181		cpd17735		Kukoamine B	
C17617	MNXM59182		cpd17736		Kukoamine C	
C17618	MNXM59183		cpd17737		Kukoamine D	
C17619	MNXM33037		cpd17738		10-(beta-Dimethylaminopropionyl)phenothiazine	
C17620	MNXM52390		cpd17739		Epomediol||2,6-Dihydroxycineol	
C17621	MNXM1107746		cpd17740	CPD-7857	(6E)-8-Hydroxygeraniol||10-Hydroxygeraniol||8-Hydroxygeraniol	
C17622	MNXM1790		cpd17741	CPD-9978	(6E)-8-Oxogeranial||10-Oxogeranial||8-Oxogeranial	
C17623	MNXM727905		cpd19249		(-)-Pulegone	
C17624	MNXM1107182		cpd17742		Cinnamtannin A1||Proanthocyanidin C1||Procyanidin C1	
C17625	MNXM46832		cpd17743		Cinnamtannin A2	
C17626	MNXM46833		cpd17744		Cinnamtannin A3	
C17627	MNXM21146		cpd19250		Prenyl diphosphate||Prenol pyrophosphate	
C17628	MNXM737753				Prenol	
C17629	MNXM46837		cpd17745		Cinnamtannin B2	
C17631	MNXM103850		cpd17747		Cinnamtannin B1	
C17632	MNXM103851		cpd17748		Cinnamtannin D1	
C17633	MNXM46839		cpd17749		Cinnamtannin D2	
C17634	MNXM81615		cpd17750		Schizonepetoside A	
C17635	MNXM81616		cpd17751		Schizonepetoside B	
C17636	MNXM81617		cpd17752		Schizonepetoside C	
C17637	MNXM130538		cpd17753		Schizonepetoside D	
C17638	MNXM81618		cpd17754		Schizonepetoside E	
C17639	MNXM34406		cpd17755	CPD-1981	Procyanidin B2||Procyanidol B2	
C17640	MNXM740240		cpd17756		Procyanidin B5||Procyanidol B5	
C17641	MNXM1107371				Cinncassiol C3	
C17642	MNXM1107368				Cinncassiol C2	
C17643	MNXM1107366				Cinncassiol C1	
C17644	MNXM10417	uchol	cpd17760	CPD-12450	Ursocholate||3alpha,7beta,12alpha-Trihydroxy-5beta-cholan-24-oic acid||3alpha,7beta,12alpha-Trihydroxy-5beta-cholanic acid||7-Epicholic acid||7beta-Hydroxyisocholic acid||Ursocholic acid	
C17645	MNXM46845		cpd17761		Cinncassiol A	
C17646	MNXM1374		cpd17762	CPD-24303	12-Epideoxycholic acid||12-Epideoxycholate	
C17647	MNXM735765		cpd17763	CPD-16585	alpha-Muricholate||3alpha,6beta,7alpha-Trihydroxy-5beta-cholan-24-oic acid||5beta-Cholanic acid-3alpha,6beta,7alpha-triol||alpha-Muricholic acid	
C17648	MNXM1369642				Cinncassiol B	
C17649	MNXM738311		cpd17764		Hyocholate||3alpha,6alpha,7alpha-Trihydroxy-5beta-cholan-24-oic acid||6alpha-Hydroxychenodeoxycholic acid||Hyocholic acid||Iocholic acid||alpha-Hyocholic acid||gamma-Muricholate	
C17651	MNXM723593		cpd17766		alpha-Phocaecholic acid||3alpha,7alpha,12alpha,23R-Tetrahydroxycholanic acid	
C17652	MNXM736659		cpd17767		Cinncassiol D1	
C17653	MNXM736662		cpd17768		Cinncassiol D2	
C17654	MNXM44164		cpd17769		beta-Phocaecholate||(23R)-Hydroxychenodeoxycholate||(3alpha,5beta,7alpha,23R)-3,7,23-Trihydroxycholan-24-oic acid||beta-Phocaecholic acid	
C17655	MNXM736665		cpd17770		Cinncassiol D3	
C17656	MNXM736668		cpd17771		Cinncassiol D4	
C17657	MNXM44469		cpd17772		Bitocholate||Bitocholic acid	
C17658	MNXM162429		cpd17773	CPD-18797	Isolithocholate||3-Epilithocholic acid||3beta-Hydroxy-5beta-cholan-24-oic acid||Isolithocholic acid||beta-Lithocholanic acid||beta-Lithocholic acid	
C17659	MNXM736671		cpd17774		Cinncassiol E	
C17660	MNXM57865		cpd17775	CPD-18826	Isochenodeoxycholate||3beta,7alpha-Dihydroxy-5beta-cholanic acid||Isochenodeoxycholic acid	
C17661	MNXM730406		cpd17776		Isodeoxycholate||7alpha,12alpha-Dihydroxy-5beta-cholanic acid||7alpha,12alpha-Dihydroxycholanoic acid||Isodeoxycholic acid	
C17662	MNXM58387		cpd17777		Isoursodeoxycholate||3beta,7beta-Dihydroxy-5beta-cholan-24-oic acid||3beta,7beta-Dihydroxy-5beta-cholanoic acid||Isoursodeoxycholic acid	
C17663	MNXM36784		cpd17778		3-Phenylpropyl acetate||Hydrocinnamyl acetate	
C17664	MNXM36875		cpd17779		Allochenodeoxycholate||3alpha,7alpha-Dihydroxy-5alpha-cholanoic acid||Allochenodeoxycholic acid	
C17665	MNXM35425		cpd17780		2-Phenylpropyl acetate	
C17666	MNXM32984		cpd17781		1-Phenylpropyl acetate	
C17667	MNXM43064		cpd17782		Avicholate||Avicholic acid	
C17668	MNXM55825		cpd17783		Haemulcholate||3alpha,7alpha,22-Trihydroxy-5beta-cholan-24-oic acid||Hemulcholic acid	
C17669	MNXM46689		cpd17784	CPD-21683	Chryso-obtusin	
C17670	MNXM43011		cpd17785	CPD-21682	Aurantio-obtusin	
C17671	MNXM64955		cpd17786	CPD-18241	Norrubrofusarin	
C17674	MNXM45772		cpd17789		Cassiaside B2	
C17675	MNXM45727		cpd17790		Neocarthamin	
C17676	MNXM104098		cpd17791		Cryptomeridiol||Proximadiol	
C17677	MNXM52931		cpd19253		Eudesobovatol B	
C17678	MNXM60963		cpd17792		Magnoloside A	
C17679	MNXM60964		cpd17793		Magnoloside B	
C17680	MNXM60965		cpd17794		Magnoloside C	
C17682	MNXM64337		cpd17795		Neoarctin A	
C17683	MNXM64338		cpd17796		Neoarctin B	
C17684	MNXM59750		cpd17797		Lappaol A	
C17685	MNXM59751		cpd17798		Lappaol B	
C17686	MNXM59752		cpd17799		Lappaol C	
C17687	MNXM737193		cpd17800		Allodeoxycholate||3alpha,12alpha-Dihydroxy-5alpha-cholanoic acid||5alpha-Deoxycholic acid	
C17688	MNXM152156		cpd31001		Aluminum acetoacetate	
C17689	MNXM722419	urscholcoa	cpd17801	CPD-23243	Ursodeoxycholoyl-CoA||3alpha,7beta-Dihydroxy-5beta-cholanoyl-CoA	
C17690	MNXM37203		cpd17802		4-(4-Hydroxyphenyl)-2-butanol||4-HPB||Betuligenol||Rhododendrol	
C17692	MNXM145835		cpd32482	CPD-17527	2-epi-5-epi-Valiolone 7-phosphate	
C17693	MNXM146511		cpd33722	CPD-18024	5-epi-Valiolone 7-phosphate	
C17694	MNXM10304		cpd25778	CPD-9664	5-epi-Valiolone	
C17695	MNXM164145				2-Keto-5-epi-valiolone	
C17698	MNXM169088				Salbostatin	
C17699	MNXM153377		cpd34546	CPD-17535	Cetoniacytone A	
C17700	MNXM13249		cpd25783	CPD-9669	Validoxylamine A	
C17701	MNXM54873		cpd17803	CPD-14207	Gentamicin A2	
C17702	MNXM54877		cpd17804	CPD-14214	Gentamicin X2	
C17703	MNXM738021				Antibiotic G-418||G418||Geneticin	
C17704	MNXM42250		cpd17806	CPD-14215	Antibiotic JI-20A||JI-20A	
C17705	MNXM42251		cpd17807	CPD-14210	Antibiotic JI-20B||JI-20B	
C17706	MNXM54876		cpd17808	CPD-15231	Gentamicin C2b||Sagamicin	
C17707	MNXM723111		cpd17809	CPD-14175	Lividomycin A	
C17708	MNXM42894		cpd17810		Fortimicin A||Astromicin	
C17709	MNXM53822		cpd17811		Fortimicin B	
C17710	MNXM81486		cpd17812		Sannamycin A||Istamycin A	
C17711	MNXM81487		cpd17813		Sannamycin B||Istamycin A0	
C17712	MNXM67668		cpd17814	CPD-14177	Paromomycin II||Neomycin F	
C17713	MNXM51380		cpd17815		dl-alpha-Tocopheryl sodium phosphate	
C17714	MNXM7416	M02108|hpa	cpd15608	CPD-7619	Heptanoic acid	bigg(2)
C17715	MNXM13228	M03117|udca	cpd15643	CPD-23301	Undecanoic acid||Hendecanoic acid	bigg(2)
C17716	MNXM48926		cpd17816		Dehydrofalcarinol	
C17717	MNXM38288		cpd17817		5-Phenyl-1,3-pentadiyne	
C17718	MNXM740687		cpd17818		Sulfamethoxazole sodium	
C17719	MNXM83578		cpd17819		Tenitramine	
C17720	MNXM50627		cpd17820	CPD-25072	Difenpiramide	
C17722	MNXM64239		cpd17822		Narcobarbital	
C17723	MNXM61527		cpd17823		Metabutethamine	
C17724	MNXM52680		cpd17824		Ethadione	
C17725	MNXM56099		cpd17825		Heptabarbital	
C17726	MNXM44153		cpd17826	CPD-16583	beta-Muricholate||3alpha,6beta,7beta-Trihydroxy-5beta-cholan-24-oic acid||5beta-Cholanic acid-3alpha,6beta,7beta-triol||beta-Muricholic acid	
C17727	MNXM738536		cpd17827	CPD-25883	omega-Muricholate||omega-Muricholic acid	
C17728	MNXM57088		cpd17828		Idanpramine	
C17729	MNXM64564		cpd17829		Nicofetamide||N-(1,2-Diphenylethyl)nicotinamide	
C17730	MNXM76936		cpd17830		Piperidione||3,3-Diethyl-2,4-dioxopiperidine	
C17731	MNXM161143		cpd17831		Sodium folinate	
C17732	MNXM729853				Magnesium peroxide	
C17733	MNXM726211				7-Oxateasterone||(22R,23R,24S)-3beta,22,23-Trihydroxy-7-oxa-5alpha-ergostane-6-one	
C17734	MNXM40065		cpd17834		Acetoxolone||Acetylglycyrrhetinic acid	
C17735	MNXM1369335				7-Oxatyphasterol||(22R,23R,24S)-3alpha,22,23-Trihydroxy-7-oxa-5alpha-ergostane-6-one	
C17737	MNXM1371682		cpd17836	CPD-16581	Allocholic acid||3alpha,7alpha,12alpha-Trihydroxy-5alpha-cholanoic acid||Allocholate	
C17740	MNXM1371626		cpd17837	CPD-12184	p-Coumaroyl-diketide-CoA||(4-Coumaroyl)acetyl-CoA	
C17741	MNXM735433		cpd17838	CPD-12180	Feruloyl-diketide-CoA||Feruloylacetyl-CoA	
C17742	MNXM1371660			CPD-12187	Demethoxycurcumin	
C17743	MNXM1371964			CPD-12188	Bisdemethoxycurcumin	
C17744	MNXM1372204			CPD-13647	1-(4-Hydroxyphenyl)-1-decene-3,5-dione	
C17745	MNXM1370721				1-(3,4-Dihydroxyphenyl)-1-decene-3,5-dione	
C17746	MNXM1370802				1-Dehydro-[6]-gingerdione	
C17747	MNXM10309		cpd17844		5-Hydroxy-1-(4-hydroxyphenyl)-3-decanone	
C17748	MNXM6032		cpd17845	CPD-13495	1-(3,4-Dihydroxyphenyl)-5-hydroxy-3-decanone	
C17749	MNXM5106		cpd17846	CPD-6622	Curcumin monoglucoside	
C17750	MNXM1108431		cpd17847	CPD-6623	Curcumin diglucoside	
C17751	MNXM4540		cpd17848	CPD-8656	cyclo-Dopa 5-O-glucoside	
C17752	MNXM6228		cpd17849	CPD-8657	cyclo-Dopa-glucuronylglucoside	
C17753	MNXM737503		cpd17850	CPD-8672	Dopaxanthin quinone	
C17754	MNXM10820		cpd17851	CPD-8757	3-Methoxytyramine-betaxanthin	
C17755	MNXM5727	CE5276	cpd17852	CPD-8851	Dopamine quinone	
C17756	MNXM741777	CE5665	cpd17853		2-Descarboxy-cyclo-dopa||5,6-Indolinediol||Indoline-5,6-diol	
C17757	MNXM14235		cpd17854	CPD-8854	2-Descarboxy-betanidin	
C17758	MNXM1368750			CPD-253	4,5-seco-Dopa	kegg(2)
C17759	MNXM13920		cpd17856	CPD-15281	1-O-Feruloyl-beta-D-glucose||1-Feruloyl-D-glucose	
C17760	MNXM1363605		cpd19254		Senegin III	
C17761	MNXM81860		cpd19255		Senegin IV	
C17762	MNXM56557		cpd19256		Homoplantaginin||Hispidulin 7-O-glucoside||Hispiduloside	
C17763	MNXM1103393		cpd19257		6-Hydroxyluteolin 7-glucoside	
C17764	MNXM55009		cpd17857		Glabric acid	
C17765	MNXM106183		cpd17858		Licoricone	
C17766	MNXM47577		cpd19258		Condurangogenin C	
C17767	MNXM47576		cpd19259		Condurangogenin A||Kondurangogenin A	
C17768	MNXM47574		cpd19260		Condurango glycoside A0	
C17769	MNXM47575		cpd19261		Condurango glycoside C	
C17770	MNXM81529		cpd17859		Sarcostin	
C17771	MNXM527994		cpd17860		Lithospermoside||Griffonin	
C17772	MNXM737982		cpd17861		Gambiriin A1	
C17773	MNXM54269		cpd17862		Gambiriin A2	
C17774	MNXM54270		cpd17863		Gambiriin A3	
C17775	MNXM54271		cpd17864		Gambiriin B1	
C17776	MNXM54272		cpd17865		Gambiriin B2	
C17777	MNXM54273		cpd17866		Gambiriin B3	
C17778	MNXM491218		cpd17867	CPD-26379	Isobarbaloin||Aloin B	
C17779	MNXM40893		cpd17868		Aloinoside A	
C17780	MNXM735599		cpd17869		Aloinoside B	
C17781	MNXM34143		cpd17870	CPD-26381	2''-o-p-Coumaroylaloesin	
C17782	MNXM36116		cpd17871		3,5-Dimethoxyallylbenzene	
C17783	MNXM45425		cpd17872		Capillanol	
C17784	MNXM37030		cpd17873	CPD-15478	Pectolinarigenin||5,7-Dihydroxy-4',6-dimethoxyflavone	
C17785	MNXM39145		cpd17874	CPD-16765	Cirsimaritin||4',5-Dihydroxy-6,7-dimethoxyflavone||Scrophulein	
C17786	MNXM38648		cpd17875		6-Demethoxycapillarisin	
C17787	MNXM42519		cpd17876		Arcapillin	
C17788	MNXM52964		cpd17877	CPD-14910	Eupatolitin	
C17789	MNXM45428		cpd17878		Capillartemisin A	
C17790	MNXM48909		cpd17879		Dehydrocorydaline	
C17791	MNXM48071		cpd19262		Cycloaraloside C	
C17792	MNXM48072		cpd19263		Cycloaraloside F	
C17793	MNXM57808		cpd19264		Isoastragaloside I	
C17794	MNXM57809		cpd19265		Isoastragaloside II	
C17795	MNXM45429		cpd17880		Capillartemisin B	
C17796	MNXM64912		cpd17881		Norcapillene	
C17797	MNXM42878		cpd19266		Astragaloside I	
C17798	MNXM42879		cpd19267		Astragaloside II	
C17799	MNXM42881		cpd19268		Astragaloside IV	
C17800	MNXM42882		cpd19269		Astragaloside V	
C17801	MNXM42883		cpd19270		Astragaloside VI	
C17802	MNXM42884		cpd19271		Astragaloside VII	
C17803	MNXM50968		cpd17882		Dimethyl suberate||Octanedioic acid dimethyl	
C17804	MNXM47204		cpd19272		Clematichinenoside A	
C17805	MNXM47205		cpd19273		Clematichinenoside B	
C17806	MNXM47206		cpd19274		Clematichinenoside C	
C17807	MNXM56701		cpd19275		Huzhongoside B	
C17808	MNXM47201		cpd17883		Clemaphenol A	
C17809	MNXM77688		cpd17884		Polygonimitin B	
C17810	MNXM47048		cpd17885		Citreorosein||omega-Hydroxyemodin	
C17811	MNXM80424		cpd17886		Questinol||1,6-Dihydroxy-3-(hydroxymethyl)-8-methoxy-9,10-anthracenedione	
C17812	MNXM59753		cpd17887		Lappaol D	
C17813	MNXM40197		cpd19276		Activin A	
C17814	MNXM55533		cpd19277		Gomisin B||Schisantherin B	
C17815	MNXM153540		cpd31002		Civetol	
C17816	MNXM55534		cpd19278		Gomisin D	
C17817	MNXM55535		cpd19279		Gomisin E	
C17818	MNXM55536		cpd19280		Gomisin F	
C17819	MNXM55537		cpd19281		Gomisin G	
C17820	MNXM55538		cpd19282		Gomisin H	
C17821	MNXM34479		cpd17888		2,4,5-Trimethoxy-1-allylbenzene||gamma-Asarone	
C17822	MNXM36023		cpd17889		3,4,5-Trimethoxytoluene	
C17823	MNXM34480		cpd17890		2,4,5-Trimethoxytoluene	
C17824	MNXM30205		cpd17891		(+/-)-Asarinol A	
C17825	MNXM30206		cpd17892		(+/-)-Asarinol B	
C17826	MNXM56397		cpd17893		Hexahydrocurcumin	
C17827	MNXM56835		cpd17894		Hydroxy-gamma-sanshool	
C17828	MNXM78363		cpd19283		Protojujuboside A	
C17829	MNXM78364		cpd19284		Protojujuboside B	
C17830	MNXM78365		cpd19285		Protojujuboside B1	
C17831	MNXM58561		cpd19286		Jujuboside A	
C17832	MNXM58562		cpd19287		Jujuboside B	
C17833	MNXM58563		cpd19288		Jujuboside C	
C17834	MNXM82590		cpd19289		Spinosin	
C17835	MNXM1372433		cpd19290		Swertisin	
C17836	MNXM38431		cpd19291		6''-Feruloylspinosin	
C17837	MNXM58338		cpd19292		Isospinosin	
C17839	MNXM83679		cpd19294		Terrestriamide	
C17840	MNXM737138		cpd17895		Dehydrozingerone	
C17841	MNXM48685		cpd19295		Dahurinol	
C17842	MNXM735444		cpd19296		Acerinol	
C17843	MNXM64971		cpd17896		Norvisnagin	
C17844	MNXM30099		cpd19297		(+)-Demethoxyaschantin	
C17845	MNXM30079		cpd19298		(+)-Aschantin	
C17846	MNXM40960		cpd19299		alpha-Asaron	
C17847	MNXM60967		cpd19300		Magnosalin	
C17848	MNXM44328		cpd19301		Biondinin A	
C17849	MNXM44329		cpd19302		Biondinin B	
C17850	MNXM1369523		cpd19303		Biondinin C	
C17851	MNXM44331		cpd19304		Biondinin D	
C17852	MNXM44332		cpd19305		Biondinin E	
C17853	MNXM81865		cpd19306		Senkyunolide	
C17854	MNXM45038		cpd19307		Butylphthalide	
C17855	MNXM47590		cpd19308		Coniferyl ferulate	
C17856	MNXM42949		cpd19309		Atractylodinol	
C17857	MNXM40082		cpd19310		Acetylatractylodinol	
C17858	MNXM42952		cpd19311		Atractyloside A	
C17859	MNXM42953		cpd19312		Atractyloside B	
C17860	MNXM42954		cpd19313		Atractyloside C	
C17861	MNXM42955		cpd19314		Atractyloside D	
C17862	MNXM42956		cpd19315		Atractyloside E	
C17863	MNXM42957		cpd19316		Atractyloside F	
C17864	MNXM42958		cpd19317		Atractyloside G	
C17865	MNXM42959		cpd19318		Atractyloside H	
C17866	MNXM42960		cpd19319		Atractyloside I	
C17867	MNXM48163		cpd19320		Cyclomorusin	
C17868	MNXM62562		cpd19321		Morusinol||Oxyhydromorusin	
C17869	MNXM81473		cpd19322		Sanggenon A	
C17870	MNXM81474		cpd19323		Sanggenon B	
C17871	MNXM81477		cpd19324		Sanggenon E	
C17872	MNXM47716		cpd19325		Corynantheine	
C17873	MNXM46138		cpd19326	CPD-8472	2-Hydroxytetracosanoic acid	
C17875	MNXM81756		cpd19328		Sedanonic acid lactone	
C17877	MNXM51106		cpd19329		Dioxation	
C17878	MNXM52927		cpd19330		Eucommiol	
C17879	MNXM739162		cpd19331		Nigakinone	
C17880	MNXM123986		cpd31003		Cryptocyanin||Cryptocyanine iodide	
C17882	MNXM73053		cpd19333		Peiminoside	
C17883	MNXM10241		cpd19334	CPD-1072	4-Vinylguaiacol	
C17884	MNXM36977		cpd19335		3beta-Hydroxyatractylon	
C17885	MNXM42943		cpd19336		Atractylenolide I	
C17886	MNXM42944		cpd19337		Atractylenolide II	
C17887	MNXM102902		cpd19338		Atractylenolide III	
C17888	MNXM52496		cpd19339		Eriojaposide A	
C17889	MNXM52497		cpd19340		Eriojaposide B	
C17890	MNXM105043		cpd19341		Euscaphic acid	
C17891	MNXM729645		cpd19342		Cryptogenin||(3beta,25R)-3,26-Dihydroxycholest-5-ene-16,22-dione||Kryptogenin	
C17892	MNXM42545		cpd19343		Arecatannin B1	
C17893	MNXM42543		cpd19344		Arecatannin A2	
C17894	MNXM42542		cpd19345		Arecatannin A1	
C17895	MNXM735919		cpd19346		Arecatannin A3	
C17896	MNXM42546		cpd19347		Arecatannin B2	
C17897	MNXM42547		cpd19348		Arecatannin C1	
C17898	MNXM82147		cpd17897		Sinactine	
C17899	MNXM58331		cpd17898		Isosinomenine	
C17900	MNXM61396		cpd17899		Menisdaurilide	
C17901	MNXM30350		cpd19349		Simiarenol	
C17902	MNXM52267		cpd19350		Ephedroxane	
C17903	MNXM30136		cpd17900	CPD-23425	(+)-N-Methylpseudoephedrine	
C17904	MNXM40934		cpd19351		alpha-Allokainic acid	
C17905	MNXM45392		cpd19352		Cannabisin A	
C17906	MNXM45393		cpd19353		Cannabisin B	
C17907	MNXM45394		cpd19354		Cannabisin C	
C17908	MNXM45395		cpd19355		Cannabisin D	
C17909	MNXM45396		cpd19356		Cannabisin E	
C17910	MNXM45397		cpd19357		Cannabisin F	
C17911	MNXM45398		cpd19358		Cannabisin G	
C17912	MNXM58451		cpd17901		Isozaluzanin C	
C17913	MNXM57905		cpd17902		Isodehydrocostus lactone	
C17914	MNXM64894		cpd17903	CPD-18925	Nootkatone	
